Final Rank,Candidate ID,Ground Truth Label,Years of Experience,Semantic Score (%),Skill Score (%),Final Score (%),Predicted Suitability,Matched Skills,Missing Skills,Recommendation,Explanation,Prediction Correct
1,Candidate_04,High,5,75.26417,92.31,80.38,High,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile",Pandas,Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 75.26% and a structured skill match score of 92.31%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile. Missing skills: Pandas. Predicted suitability: High. Strong candidate for initial recruiter review.",True
2,Candidate_07,High,7,73.88134,84.62,77.1,High,"Python, SQL, Object-Oriented Programming, REST APIs, Docker, AWS, Machine Learning, Pandas, NumPy, Software Testing, Agile","Git, Scikit-learn",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 73.88% and a structured skill match score of 84.62%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, REST APIs, Docker, AWS, Machine Learning, Pandas, NumPy, Software Testing, Agile. Missing skills: Git, Scikit-learn. Predicted suitability: High. Strong candidate for initial recruiter review.",True
3,Candidate_06,High,5,74.42125,76.92,75.17,High,"SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile","Python, Machine Learning, Scikit-learn",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 74.42% and a structured skill match score of 76.92%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile. Missing skills: Python, Machine Learning, Scikit-learn. Predicted suitability: High. Strong candidate for initial recruiter review.",True
4,Candidate_02,High,6,76.84921,69.23,74.56,High,"Python, SQL, REST APIs, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, Machine Learning, NumPy",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 76.85% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, REST APIs, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile. Missing skills: Object-Oriented Programming, Docker, Machine Learning, NumPy. Predicted suitability: High. Strong candidate for initial recruiter review.",True
5,Candidate_01,High,7,76.70183,69.23,74.46,High,"Python, Object-Oriented Programming, REST APIs, Git, Docker, NumPy, Scikit-learn, Software Testing, Agile","SQL, AWS, Machine Learning, Pandas",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 76.70% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, Object-Oriented Programming, REST APIs, Git, Docker, NumPy, Scikit-learn, Software Testing, Agile. Missing skills: SQL, AWS, Machine Learning, Pandas. Predicted suitability: High. Strong candidate for initial recruiter review.",True
6,Candidate_03,High,4,76.160095,69.23,74.08,High,"Python, SQL, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, Software Testing, Agile","REST APIs, Pandas, NumPy, Scikit-learn",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 76.16% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, Software Testing, Agile. Missing skills: REST APIs, Pandas, NumPy, Scikit-learn. Predicted suitability: High. Strong candidate for initial recruiter review.",True
7,Candidate_05,High,6,74.31544,69.23,72.79,High,"Python, SQL, REST APIs, Git, AWS, Machine Learning, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, Pandas, NumPy",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 74.32% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, REST APIs, Git, AWS, Machine Learning, Scikit-learn, Software Testing, Agile. Missing skills: Object-Oriented Programming, Docker, Pandas, NumPy. Predicted suitability: High. Strong candidate for initial recruiter review.",True
8,Candidate_13,Medium,2,73.43199,69.23,72.17,High,"Python, SQL, Object-Oriented Programming, Git, Docker, Pandas, NumPy, Software Testing, Agile","REST APIs, AWS, Machine Learning, Scikit-learn",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 73.43% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, Git, Docker, Pandas, NumPy, Software Testing, Agile. Missing skills: REST APIs, AWS, Machine Learning, Scikit-learn. Predicted suitability: High. Strong candidate for initial recruiter review.",False
9,Candidate_08,Medium,3,76.119255,61.54,71.75,High,"SQL, Object-Oriented Programming, REST APIs, Git, Pandas, NumPy, Software Testing, Agile","Python, Docker, AWS, Machine Learning, Scikit-learn",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 76.12% and a structured skill match score of 61.54%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: SQL, Object-Oriented Programming, REST APIs, Git, Pandas, NumPy, Software Testing, Agile. Missing skills: Python, Docker, AWS, Machine Learning, Scikit-learn. Predicted suitability: High. Strong candidate for initial recruiter review.",False
10,Candidate_14,Medium,2,75.933334,61.54,71.62,High,"Python, SQL, REST APIs, Git, NumPy, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, AWS, Machine Learning, Pandas",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 75.93% and a structured skill match score of 61.54%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, REST APIs, Git, NumPy, Scikit-learn, Software Testing, Agile. Missing skills: Object-Oriented Programming, Docker, AWS, Machine Learning, Pandas. Predicted suitability: High. Strong candidate for initial recruiter review.",False
